yelp_id,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,taxi_stand,train_station
4l9_RcA1QcPAv4rSnEYDtg,6.0,1.0,6.0,6.0,,13.0,2.0,,5.0,,,6.0,,,,,
4lfzJCUnLiHo4qEQ9Plqwg,18.0,13.0,11.0,30.0,3.0,28.0,19.0,4.0,13.0,,,43.0,5.0,1.0,1.0,,
4nfeErznRWbrkQIhEzUTTw,8.0,4.0,7.0,28.0,,8.0,5.0,,2.0,,1.0,,1.0,,,,
4nr5FagRfFuJFlLrK1ht1Q,28.0,14.0,28.0,60.0,5.0,15.0,32.0,3.0,13.0,4.0,1.0,10.0,6.0,,1.0,,
4qzepJPo3WfwM0PRhg7hcg,3.0,,,4.0,,2.0,1.0,,,,,4.0,2.0,,,,
4r-RoDt2XRbz8JnDE-7buw,16.0,14.0,6.0,43.0,2.0,26.0,10.0,1.0,11.0,2.0,4.0,15.0,,,1.0,,
4rwpTdwlH9iFs-SENbYELw,14.0,6.0,6.0,38.0,3.0,10.0,7.0,,14.0,,,9.0,3.0,,,,
4uSZ0G-8hteI26CBYWnwgg,5.0,7.0,5.0,21.0,5.0,20.0,6.0,,1.0,,,14.0,8.0,,,,
4us5u1Gn8NXARppQSmKHWA,4.0,,1.0,13.0,,10.0,1.0,4.0,2.0,,,10.0,,,,,
4vmAKvSBlX66gYfrRec5qQ,1.0,1.0,1.0,6.0,1.0,10.0,4.0,,5.0,,1.0,1.0,1.0,,1.0,,
4wCML4lC5WxoxptfhXILhw,8.0,3.0,3.0,11.0,3.0,16.0,2.0,3.0,5.0,,1.0,10.0,1.0,,1.0,,
50nZ4jdBYe6AuN0r3--KWg,11.0,5.0,13.0,60.0,,8.0,8.0,1.0,13.0,,,7.0,4.0,,1.0,,
53UyLtU4F7seRkPfL6TY6Q,8.0,6.0,13.0,15.0,4.0,15.0,12.0,1.0,5.0,2.0,1.0,18.0,3.0,,2.0,,
59taFywC94rseFrt6J5c3A,34.0,19.0,31.0,60.0,5.0,19.0,32.0,3.0,13.0,4.0,1.0,11.0,6.0,,1.0,,
5Ao9S6fPXVE4MV_V1OHXMg,6.0,4.0,2.0,56.0,2.0,14.0,3.0,,15.0,,,8.0,5.0,,,,
5CPEGtOk3yZQv4rPaXRUXQ,5.0,2.0,4.0,1.0,,6.0,2.0,3.0,2.0,1.0,,6.0,,,,,
5FcDJWqTNIbQ9H8Nfi7ueg,5.0,4.0,2.0,19.0,,11.0,5.0,2.0,3.0,,1.0,6.0,1.0,,1.0,,
