,Zipcode,Zip code population in 2016,White population,Black population,American Indian population,Asian population,Native Hawaiian and Other Pacific Islander population,Some other race population,Two or more races population,Hispanic or Latino population,High school or higher,Bachelor's degree or higher,Graduate or professional degree,Unemployed,Mean travel time to work (commute),Never married,Now married,Separated,Widowed,Divorced
22,90028,31568,13991,2168,96,2324,43,100,763,9229,86.0%,,11.5%,8.5%,30.8 minutes,60.8%,22.0%,2.5%,4.7%,10.0%
23,90029,40819,7898,1075,57,6203,21,116,587,22660,69.0%,,6.0%,7.9%,33.3 minutes,49.1%,35.2%,2.9%,4.7%,8.0%
24,90031,39498,1985,399,68,9882,15,63,261,26643,56.7%,,5.3%,7.7%,32.3 minutes,44.4%,40.1%,2.7%,6.3%,6.5%
25,90032,47963,2129,843,106,4996,12,61,267,37372,63.4%,,5.0%,9.9%,31.1 minutes,45.8%,38.3%,3.2%,5.2%,7.5%
26,90033,49861,1064,690,71,2058,9,119,138,44703,45.1%,,2.3%,7.5%,31.8 minutes,50.0%,35.4%,3.7%,4.9%,5.9%
27,90034,58266,21322,5836,116,10958,137,351,2016,17228,92.0%,,22.6%,4.9%,27.5 minutes,49.2%,36.8%,1.9%,2.8%,9.3%
28,90035,31020,20373,2474,48,1768,17,179,1131,2428,95.1%,,23.8%,4.9%,25.3 minutes,41.2%,41.7%,2.0%,6.0%,9.2%
29,90036,38475,23054,2061,45,7467,31,131,1085,2991,99.1%,,24.0%,4.9%,27.2 minutes,49.4%,37.4%,1.7%,3.2%,8.3%
30,90038,28558,7858,1089,24,2289,27,140,434,17056,72.2%,,7.5%,7.5%,33.9 minutes,56.0%,31.3%,2.5%,3.1%,7.1%
31,90039,28843,10264,573,36,5161,36,60,710,11674,86.8%,,16.7%,5.3%,30.5 minutes,42.1%,42.5%,2.0%,5.1%,8.3%
32,90040,12995,409,60,48,134,7,26,27,11809,54.8%,,2.5%,7.8%,26.7 minutes,40.1%,39.9%,3.4%,6.7%,10.0%
33,90041,28812,8454,552,84,7631,27,60,748,9869,89.4%,,15.7%,6.1%,31.8 minutes,42.0%,41.0%,2.6%,6.7%,7.7%
34,90042,64014,8765,1289,174,7466,40,145,854,43697,73.0%,,9.8%,7.7%,32.1 minutes,46.4%,38.7%,2.3%,4.1%,8.6%
35,90043,44963,1002,28877,71,359,33,274,1124,13049,80.7%,,10.3%,11.4%,32.7 minutes,46.5%,33.9%,2.7%,6.4%,10.5%
36,90045,41735,20086,5420,56,4657,130,157,1771,7203,97.9%,,22.4%,5.8%,25.2 minutes,47.0%,39.6%,1.1%,4.3%,7.9%
37,90046,51653,37931,1625,83,2592,38,152,1373,4787,97.7%,,18.2%,6.0%,28.5 minutes,54.5%,28.0%,1.6%,4.9%,11.0%
38,90048,23047,16898,625,20,1552,14,54,655,1579,98.0%,,29.3%,5.1%,25.3 minutes,50.2%,34.8%,0.9%,3.9%,10.1%
39,90049,36091,28631,497,32,3048,23,88,1229,1934,100.0%,,38.7%,4.5%,25.1 minutes,37.6%,47.3%,1.3%,4.8%,9.0%
40,90063,54918,761,190,79,591,2,81,79,53975,47.3%,,1.4%,10.2%,29.6 minutes,42.8%,42.8%,3.9%,4.6%,5.8%
41,90064,27419,15592,630,24,4229,23,111,969,3825,97.7%,,31.8%,3.1%,24.4 minutes,38.5%,48.0%,0.7%,4.3%,8.5%
